Youtuber,Country,highest_monthly_earnings
Sourav Joshi Vlogs,nan,1100000
ZAMZAM ELECTRONICS TRADING,United Arab Emirates,6400000
DUDU e CAROL,Brazil,772700
Village Cooking Channel,India,778400
Eva Bravo Play,United States,255700
Tekashi 6ix9ine,United States,454200
Tlnovelas,Mexico,62
SMOL,nan,0.01
invictor,Chile,0.2
YOLO,Germany,0
Sidhu Moose Wala,India,642800
The Royalty Family,United States,640900
Becky G,United States,412700
Ishaan Ali 11,India,2900000
Infinite,United States,273400
Azhan5star,India,945200
Dangal TV Channel,India,2200000
Khan GS Research Centre,nan,0
GMA Public  Affairs,Philippines,569300
Tasty,United States,98800
Baim Paula,Indonesia,107900
nigahiga,United States,9900
Rafa & Luiz,Brazil,473600
Lyrical Lemonade,United States,320200
Vlad and Niki IDN,United States,533400
Dr. Vivek Bindra: Motivational Speaker,India,114400
Fatos Desconhecidos,Brazil,209300
Brave Wilderness,United States,0
LIV Crime,United States,1500000
Minecraft - Topic,nan,0
Romeo Santos,United States,0.4
Canal Canalha,Brazil,95600
Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Germany,117100
Yoeslan,United States,3500000
5-Minute Crafts DIY,United States,80000
Zach King,nan,0.5
tuzelity SHUFFLE,Russia,2200000
NBA,United States,292100
Deddy Corbuzier,Indonesia,0.34
Bizarrap,Argentina,772700
Avicii,Sweden,324900
Mnet K-POP,South Korea,634200
LazarBeam,Australia,104300
Ninja Kidz TV,United States,780800
Totoy kids - Portuguï¿½,Brazil,158000
Jake Paul,United States,58600
Linkin Park,Afghanistan,0
Vijay Television,India,3600000
SlivkiShow,Ukraine,116000
Emiway Bantai,India,165200
Got Talent Global,United Kingdom,345800
ýýýýýýýýýýýýýýý - Genevieve's Playhouse,nan,287100
BabyBus - Cerita & Lagu Anak-anak,Indonesia,451100
Ami Rodriguez,Colombia,1100000
Noor Stars,United Arab Emirates,62200
Family GamesTV,nan,0
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,India,453700
dednahype,Latvia,5000000
Marta and Rustam,United States,1800000
MiawAug,Indonesia,258000
CookieSwirlC,United States,886800
Skrillex,United States,101100
AuthenticGames,Brazil,21700
Robin Hood Gamer,nan,0
Pencilmation,United States,59400
7clouds,United States,1100000
5-Minute Crafts PLAY,United States,423100
Marvel Entertainment,United States,0.25
BuzzFeedVideo,United States,36400
REACT,United States,92800
Vevo,United States,5300
Gordon Ramsay,United Kingdom,156900
Pentatonix,Canada,0
Green Gold TV - Official Channel,India,0
Gusttavo Lima Oficial,Brazil,859200
HaerteTest,Germany,22600
Crafty Panda,United States,24500
SOMOY TV,United States,65
JennaMarbles,United States,15100
